wave,domain,task,participant_id,item_local_id,item_text_hash,dimension,score_raw,score_quality_aligned
二次专家复核,化学,Task B,HR_34C0D10351246024,C02,af557e1581ed2d03,语言清晰度,5.0,5.0
首轮专家复核,物理,Task C,HR_02141DCD6E7B4D9E,Q38,2fb9429b39d30e3e,误解处理质量,4.0,4.0
二次专家复核,物理,Task A,HR_78DB17AF389C01CE,P04,8620e3a0ad7609a8,事实准确性,3.0,3.0
二次专家复核,生物,Task A,HR_E9B481C3FBD1E96D,B01,7543f1509f98fbda,误解处理质量,1.0,1.0
首轮专家复核,物理,Task A,HR_02141DCD6E7B4D9E,Q18,20298cfa0e528885,任务符合度,5.0,5.0
二次专家复核,物理,Task A,HR_02D8AECDFCDA29D3,P01,254b15015ba54f2f,误解处理质量,5.0,5.0
二次专家复核,化学,Task A,HR_805E6792721083AD,C04,6c468bcaab749880,误导风险,2.0,4.0
二次专家复核,物理,Task C,HR_F923F179F34B1C7B,P03,62be08b587b9aa7f,概念完整性,5.0,5.0
首轮专家复核,地理,Task C,HR_3F4E529E25BA8081,Q36,9c8e8425387be3aa,误导风险,1.0,5.0
首轮专家复核,物理,Task B,HR_02141DCD6E7B4D9E,Q31,ba1cd7ed7842dc57,任务符合度,5.0,5.0
二次专家复核,地理,Task B,HR_0D3E6B5AE28E8C8F,G02,ebb0a5a47da7657b,事实准确性,2.0,2.0
二次专家复核,化学,Task C,HR_520A0086E9EC0467,C06,1cf1d65c59a9dc1e,任务符合度,4.0,4.0
二次专家复核,大气科学,Task C,HR_66DD77AA225084CB,A03,08989cd66eae1f3b,任务符合度,4.0,4.0
二次专家复核,大气科学,Task B,HR_38310FAD68B7841A,A02,baedf215b4625439,任务符合度,5.0,5.0
首轮专家复核,物理,Task B,HR_928CC27A748A1794,Q21,ad8b35f20cb10412,误解处理质量,1.0,1.0
首轮专家复核,物理,Task B,HR_02141DCD6E7B4D9E,Q31,ba1cd7ed7842dc57,误解处理质量,5.0,5.0
二次专家复核,大气科学,Task B,HR_C3F141CA7E23D006,A02,baedf215b4625439,任务符合度,3.0,3.0
二次专家复核,化学,Task C,HR_9A94B820E4493456,C03,d39e35505563bba8,事实准确性,5.0,5.0
二次专家复核,生物,Task A,HR_F3D84695FC3784D9,B04,73a2f603349a8c5e,概念完整性,4.0,4.0
二次专家复核,大气科学,Task C,HR_8F83700D26CC68E5,A06,8f5f521203b4de99,语言清晰度,5.0,5.0
二次专家复核,大气科学,Task A,HR_411D737AD34D2847,A01,7975f3179dd8732f,语言清晰度,5.0,5.0
二次专家复核,物理,Task B,HR_0DEF199CF606647F,P02,1cb01a4146939d4c,概念完整性,4.0,4.0
二次专家复核,大气科学,Task B,HR_EB28735B4F9B0C20,A02,baedf215b4625439,概念完整性,2.0,2.0
首轮专家复核,物理,Task A,HR_928CC27A748A1794,Q17,43fbb689d5c38316,任务符合度,5.0,5.0
二次专家复核,物理,Task A,HR_0BC00D80C55A7DE9,P01,254b15015ba54f2f,语言清晰度,5.0,5.0
二次专家复核,地理,Task A,HR_E0A21B1AAF06A5AD,G04,a6cac3885da5e7a9,误解处理质量,1.0,1.0
二次专家复核,生物,Task B,HR_8A9FF2FBF1908FAE,B05,dfea3893eacd240f,语言清晰度,5.0,5.0
二次专家复核,化学,Task A,HR_9CF98BA4B41DB63D,C01,24573e91411cfd5c,误解处理质量,5.0,5.0
二次专家复核,大气科学,Task C,HR_8F83700D26CC68E5,A03,08989cd66eae1f3b,事实准确性,4.0,4.0
二次专家复核,地理,Task B,HR_727B0E20BD95891A,G02,ebb0a5a47da7657b,事实准确性,5.0,5.0
二次专家复核,物理,Task A,HR_5F9B9E211EA076DF,P01,254b15015ba54f2f,误导风险,1.0,5.0
首轮专家复核,地理,Task B,HR_A764352C458492F0,Q22,ae83fb34cc831853,语言清晰度,3.0,3.0
二次专家复核,生物,Task A,HR_0A444D3A5B290234,B01,7543f1509f98fbda,概念完整性,3.0,3.0
二次专家复核,地理,Task B,HR_0D3E6B5AE28E8C8F,G05,6e1e89984f9f102e,语言清晰度,4.0,4.0
二次专家复核,大气科学,Task C,HR_411D737AD34D2847,A06,8f5f521203b4de99,事实准确性,5.0,5.0
二次专家复核,生物,Task C,HR_0A444D3A5B290234,B03,9df3800f06735a98,误解处理质量,4.0,4.0
二次专家复核,物理,Task A,HR_E16D80C9A2A827A1,P04,8620e3a0ad7609a8,事实准确性,5.0,5.0
二次专家复核,生物,Task A,HR_D6D13463ED1F967F,B01,7543f1509f98fbda,误解处理质量,4.0,4.0
首轮专家复核,地理,Task C,HR_A764352C458492F0,Q44,9c2a4da741399a54,概念完整性,5.0,5.0
首轮专家复核,地理,Task C,HR_3F4E529E25BA8081,Q41,4be33a6cd62ab5b4,误导风险,1.0,5.0
二次专家复核,化学,Task A,HR_9CF98BA4B41DB63D,C04,6c468bcaab749880,误解处理质量,4.0,4.0
首轮专家复核,地理,Task A,HR_A764352C458492F0,Q10,c01b60c2c429d940,概念完整性,3.0,3.0
二次专家复核,化学,Task C,HR_C6D3149575AF3DE0,C06,1cf1d65c59a9dc1e,误导风险,1.0,5.0
二次专家复核,生物,Task C,HR_F3D84695FC3784D9,B03,9df3800f06735a98,语言清晰度,5.0,5.0
首轮专家复核,地理,Task A,HR_3F4E529E25BA8081,Q18,7a6222b3d3e49d93,事实准确性,5.0,5.0
二次专家复核,生物,Task C,HR_4EAFA1A80086494B,B03,9df3800f06735a98,误解处理质量,2.0,2.0
二次专家复核,化学,Task A,HR_2E23273DA71667D6,C01,24573e91411cfd5c,任务符合度,5.0,5.0
二次专家复核,物理,Task B,HR_02D8AECDFCDA29D3,P02,1cb01a4146939d4c,语言清晰度,5.0,5.0
首轮专家复核,生物,Task A,HR_BECB4B9362C32EBF,Q16,e58fc49fe06aa386,误导风险,3.0,3.0
二次专家复核,化学,Task A,HR_805E6792721083AD,C04,6c468bcaab749880,语言清晰度,4.0,4.0
首轮专家复核,生物,Task B,HR_BECB4B9362C32EBF,Q21,4d0a79cb99f26fb6,概念完整性,5.0,5.0
首轮专家复核,生物,Task C,HR_BECB4B9362C32EBF,Q35,b9db089ecf604a57,误导风险,1.0,5.0
二次专家复核,地理,Task A,HR_0D3E6B5AE28E8C8F,G01,b3626a547426ca50,事实准确性,1.0,1.0
二次专家复核,生物,Task B,HR_D6D13463ED1F967F,B05,dfea3893eacd240f,语言清晰度,5.0,5.0
二次专家复核,大气科学,Task B,HR_38310FAD68B7841A,A02,baedf215b4625439,概念完整性,3.0,3.0
二次专家复核,大气科学,Task B,HR_66DD77AA225084CB,A02,baedf215b4625439,误导风险,3.0,3.0
二次专家复核,化学,Task A,HR_E5C7FF5DA802C143,C04,6c468bcaab749880,事实准确性,5.0,5.0
二次专家复核,地理,Task A,HR_85D8914811C4A620,G01,b3626a547426ca50,误导风险,1.0,5.0
二次专家复核,生物,Task B,HR_828BE1335679826A,B05,dfea3893eacd240f,误导风险,2.0,4.0
二次专家复核,物理,Task A,HR_B0F2BC85E5725830,P01,254b15015ba54f2f,误解处理质量,5.0,5.0
二次专家复核,化学,Task C,HR_34C0D10351246024,C03,d39e35505563bba8,事实准确性,5.0,5.0
首轮专家复核,地理,Task A,HR_3F4E529E25BA8081,Q15,8f4a2a7e690f4202,误导风险,1.0,5.0
二次专家复核,化学,Task A,HR_B911379D4F503DB9,C04,6c468bcaab749880,事实准确性,5.0,5.0
首轮专家复核,物理,Task C,HR_928CC27A748A1794,Q33,d93cec8596b09c24,任务符合度,4.0,4.0
二次专家复核,大气科学,Task A,HR_38310FAD68B7841A,A01,7975f3179dd8732f,语言清晰度,5.0,5.0
二次专家复核,生物,Task C,HR_D6D13463ED1F967F,B03,9df3800f06735a98,误导风险,1.0,5.0
二次专家复核,生物,Task C,HR_E9B481C3FBD1E96D,B06,7d7bd627e3f4e8c4,概念完整性,4.0,4.0
二次专家复核,化学,Task C,HR_C6D3149575AF3DE0,C03,d39e35505563bba8,误解处理质量,4.0,4.0
首轮专家复核,生物,Task A,HR_BECB4B9362C32EBF,Q11,821481f889ed0f28,事实准确性,4.0,4.0
二次专家复核,生物,Task B,HR_ED0AA05C41D2BD02,B05,dfea3893eacd240f,概念完整性,4.0,4.0
二次专家复核,大气科学,Task C,HR_38310FAD68B7841A,A06,8f5f521203b4de99,误导风险,1.0,5.0
二次专家复核,化学,Task C,HR_352D16E8D0E67D63,C03,d39e35505563bba8,概念完整性,4.0,4.0
二次专家复核,生物,Task C,HR_741A9644AB0DAEC9,B06,7d7bd627e3f4e8c4,语言清晰度,5.0,5.0
首轮专家复核,生物,Task C,HR_BECB4B9362C32EBF,Q43,fe212bad3f1ee460,概念完整性,3.0,3.0
二次专家复核,地理,Task C,HR_2AE5E3D4873378B4,G06,9c55f3213fe7f5fc,事实准确性,5.0,5.0
二次专家复核,物理,Task B,HR_0BC00D80C55A7DE9,P05,c5fea29f75bd3a09,语言清晰度,5.0,5.0
二次专家复核,大气科学,Task B,HR_38310FAD68B7841A,A02,baedf215b4625439,语言清晰度,5.0,5.0
二次专家复核,化学,Task B,HR_8D4F95B964291AF8,C02,af557e1581ed2d03,语言清晰度,4.0,4.0
二次专家复核,大气科学,Task B,HR_8F83700D26CC68E5,A05,10d80a23a0b8f77e,任务符合度,5.0,5.0
二次专家复核,生物,Task B,HR_8A9FF2FBF1908FAE,B05,dfea3893eacd240f,任务符合度,4.0,4.0
二次专家复核,物理,Task B,HR_5F9B9E211EA076DF,P02,1cb01a4146939d4c,概念完整性,3.0,3.0
二次专家复核,大气科学,Task A,HR_A999C5E1BDE54E1C,A01,7975f3179dd8732f,事实准确性,5.0,5.0
二次专家复核,化学,Task C,HR_0AEC51733B48CE81,C03,d39e35505563bba8,误解处理质量,4.0,4.0
二次专家复核,地理,Task B,HR_E0A21B1AAF06A5AD,G05,6e1e89984f9f102e,概念完整性,3.0,3.0
二次专家复核,物理,Task B,HR_B0F2BC85E5725830,P05,c5fea29f75bd3a09,事实准确性,4.0,4.0
首轮专家复核,物理,Task C,HR_02141DCD6E7B4D9E,Q42,c28a118eea92aae4,概念完整性,5.0,5.0
二次专家复核,化学,Task A,HR_0AEC51733B48CE81,C04,6c468bcaab749880,误导风险,1.0,5.0
二次专家复核,物理,Task C,HR_02D8AECDFCDA29D3,P03,62be08b587b9aa7f,误解处理质量,1.0,1.0
首轮专家复核,化学,Task A,HR_041E044634F6C9E1,Q18,076987482c6220ca,误导风险,1.0,5.0
二次专家复核,物理,Task C,HR_F82FBEC24357C9C4,P06,b4657033d66e96c8,语言清晰度,4.0,4.0
首轮专家复核,物理,Task C,HR_928CC27A748A1794,Q35,b96e6d79a14be3a4,误导风险,1.0,5.0
二次专家复核,地理,Task A,HR_2AE5E3D4873378B4,G01,b3626a547426ca50,语言清晰度,4.0,4.0
二次专家复核,化学,Task C,HR_BCF78C101D6FC95A,C06,1cf1d65c59a9dc1e,语言清晰度,2.0,2.0
首轮专家复核,生物,Task A,HR_BECB4B9362C32EBF,Q10,f6a6c24d7c17c8f8,误解处理质量,4.0,4.0
二次专家复核,地理,Task A,HR_915A84013999F677,G04,a6cac3885da5e7a9,误导风险,1.0,5.0
首轮专家复核,物理,Task C,HR_02141DCD6E7B4D9E,Q36,e3a499cd662fda8f,误导风险,1.0,5.0
二次专家复核,生物,Task B,HR_ED0AA05C41D2BD02,B02,fa6ec6de1ee1435a,任务符合度,4.0,4.0
二次专家复核,生物,Task B,HR_741A9644AB0DAEC9,B02,fa6ec6de1ee1435a,任务符合度,4.0,4.0
二次专家复核,物理,Task A,HR_C81ABC3E5C858CCA,P01,254b15015ba54f2f,语言清晰度,4.0,4.0
二次专家复核,化学,Task C,HR_BCF78C101D6FC95A,C06,1cf1d65c59a9dc1e,概念完整性,2.0,2.0
二次专家复核,化学,Task A,HR_BCF78C101D6FC95A,C04,6c468bcaab749880,任务符合度,1.0,1.0
二次专家复核,化学,Task A,HR_9CF98BA4B41DB63D,C01,24573e91411cfd5c,事实准确性,5.0,5.0
二次专家复核,大气科学,Task B,HR_EB28735B4F9B0C20,A05,10d80a23a0b8f77e,概念完整性,4.0,4.0
首轮专家复核,物理,Task A,HR_02141DCD6E7B4D9E,Q8,0aa25ee2c67b459f,误解处理质量,5.0,5.0
二次专家复核,物理,Task C,HR_B144CD2AC118086A,P06,b4657033d66e96c8,误解处理质量,3.0,3.0
二次专家复核,物理,Task B,HR_0BC00D80C55A7DE9,P05,c5fea29f75bd3a09,任务符合度,5.0,5.0
首轮专家复核,地理,Task B,HR_3F4E529E25BA8081,Q28,f0f15fb94300f7ed,事实准确性,5.0,5.0
首轮专家复核,生物,Task A,HR_BECB4B9362C32EBF,Q14,59ae82dd8e678e70,语言清晰度,5.0,5.0
二次专家复核,生物,Task A,HR_828BE1335679826A,B04,73a2f603349a8c5e,事实准确性,4.0,4.0
二次专家复核,物理,Task C,HR_2B5F4717CBE8F00D,P06,b4657033d66e96c8,误解处理质量,5.0,5.0
首轮专家复核,生物,Task B,HR_BECB4B9362C32EBF,Q25,a0727a0c3c6daebf,误导风险,2.0,4.0
首轮专家复核,物理,Task B,HR_928CC27A748A1794,Q28,0b8747e86add45a5,语言清晰度,5.0,5.0
二次专家复核,物理,Task B,HR_F82FBEC24357C9C4,P05,c5fea29f75bd3a09,误解处理质量,3.0,3.0
二次专家复核,地理,Task B,HR_5808A7BBCC9B4BAB,G05,6e1e89984f9f102e,事实准确性,5.0,5.0
二次专家复核,化学,Task B,HR_01FA5755D0707AE6,C05,70ef57a52e80b477,误解处理质量,3.0,3.0
二次专家复核,物理,Task A,HR_AEE7A19C908C42E7,P01,254b15015ba54f2f,概念完整性,4.0,4.0
二次专家复核,生物,Task C,HR_ED0AA05C41D2BD02,B03,9df3800f06735a98,概念完整性,4.0,4.0
二次专家复核,生物,Task B,HR_828BE1335679826A,B05,dfea3893eacd240f,概念完整性,2.0,2.0
二次专家复核,化学,Task A,HR_053A302B854396BA,C04,6c468bcaab749880,误解处理质量,4.0,4.0
二次专家复核,物理,Task C,HR_2B5F4717CBE8F00D,P03,62be08b587b9aa7f,概念完整性,5.0,5.0
首轮专家复核,物理,Task B,HR_02141DCD6E7B4D9E,Q21,ad8b35f20cb10412,误解处理质量,5.0,5.0
二次专家复核,物理,Task A,HR_F923F179F34B1C7B,P01,254b15015ba54f2f,语言清晰度,1.0,1.0
二次专家复核,生物,Task C,HR_8A9FF2FBF1908FAE,B03,9df3800f06735a98,概念完整性,1.0,1.0
二次专家复核,物理,Task A,HR_02D8AECDFCDA29D3,P04,8620e3a0ad7609a8,误导风险,1.0,5.0
二次专家复核,生物,Task B,HR_741A9644AB0DAEC9,B02,fa6ec6de1ee1435a,语言清晰度,5.0,5.0
二次专家复核,生物,Task C,HR_C2074DD90BB9485C,B06,7d7bd627e3f4e8c4,语言清晰度,4.0,4.0
二次专家复核,化学,Task C,HR_494A70834F25B0B7,C03,d39e35505563bba8,概念完整性,5.0,5.0
二次专家复核,生物,Task C,HR_C2074DD90BB9485C,B03,9df3800f06735a98,误导风险,1.0,5.0
二次专家复核,生物,Task A,HR_B368FA36ECFF5098,B04,73a2f603349a8c5e,语言清晰度,3.0,3.0
首轮专家复核,地理,Task C,HR_3F4E529E25BA8081,Q38,33186b205f8bdf66,误解处理质量,5.0,5.0
二次专家复核,大气科学,Task A,HR_776846B1E77D2DDA,A04,da4ef414c9aaf526,误解处理质量,5.0,5.0
二次专家复核,地理,Task B,HR_E0A21B1AAF06A5AD,G02,ebb0a5a47da7657b,误解处理质量,1.0,1.0
二次专家复核,地理,Task A,HR_8C118A0AF09A248C,G04,a6cac3885da5e7a9,误导风险,1.0,5.0
首轮专家复核,化学,Task A,HR_041E044634F6C9E1,Q12,06dc817c5e5fc2e5,语言清晰度,3.0,3.0
二次专家复核,生物,Task A,HR_E26486DB4D0AF675,B04,73a2f603349a8c5e,任务符合度,4.0,4.0
首轮专家复核,地理,Task B,HR_A764352C458492F0,Q28,f0f15fb94300f7ed,任务符合度,5.0,5.0
二次专家复核,化学,Task B,HR_053A302B854396BA,C02,af557e1581ed2d03,误导风险,1.0,5.0
首轮专家复核,地理,Task A,HR_3F4E529E25BA8081,Q10,c01b60c2c429d940,事实准确性,5.0,5.0
首轮专家复核,生物,Task C,HR_BECB4B9362C32EBF,Q33,b2f4d5bf55b87280,误解处理质量,4.0,4.0
二次专家复核,化学,Task C,HR_8D4F95B964291AF8,C06,1cf1d65c59a9dc1e,事实准确性,5.0,5.0
二次专家复核,地理,Task A,HR_0D3E6B5AE28E8C8F,G04,a6cac3885da5e7a9,概念完整性,1.0,1.0
二次专家复核,地理,Task B,HR_2AE5E3D4873378B4,G02,ebb0a5a47da7657b,任务符合度,3.0,3.0
二次专家复核,地理,Task C,HR_8C118A0AF09A248C,G06,9c55f3213fe7f5fc,语言清晰度,5.0,5.0
首轮专家复核,地理,Task A,HR_3F4E529E25BA8081,Q10,c01b60c2c429d940,误解处理质量,5.0,5.0
首轮专家复核,化学,Task C,HR_041E044634F6C9E1,Q34,faa446098c9bb43e,误解处理质量,4.0,4.0
二次专家复核,地理,Task A,HR_C4E3B04784E16382,G04,a6cac3885da5e7a9,语言清晰度,5.0,5.0
首轮专家复核,物理,Task C,HR_928CC27A748A1794,Q42,c28a118eea92aae4,语言清晰度,5.0,5.0
二次专家复核,物理,Task C,HR_5F9B9E211EA076DF,P03,62be08b587b9aa7f,误导风险,1.0,5.0
首轮专家复核,地理,Task A,HR_3F4E529E25BA8081,Q9,bc34e46bd7986678,误解处理质量,4.0,4.0
二次专家复核,化学,Task C,HR_8D4F95B964291AF8,C03,d39e35505563bba8,语言清晰度,4.0,4.0
二次专家复核,化学,Task B,HR_8D4F95B964291AF8,C02,af557e1581ed2d03,概念完整性,5.0,5.0
二次专家复核,大气科学,Task B,HR_515DBF81A09F14FA,A05,10d80a23a0b8f77e,概念完整性,3.0,3.0
二次专家复核,物理,Task C,HR_B144CD2AC118086A,P06,b4657033d66e96c8,事实准确性,3.0,3.0
二次专家复核,物理,Task C,HR_0DEF199CF606647F,P03,62be08b587b9aa7f,概念完整性,3.0,3.0
二次专家复核,大气科学,Task C,HR_1400B058CF118592,A06,8f5f521203b4de99,误解处理质量,4.0,4.0
二次专家复核,物理,Task A,HR_F82FBEC24357C9C4,P01,254b15015ba54f2f,概念完整性,2.0,2.0
二次专家复核,生物,Task C,HR_D6D13463ED1F967F,B06,7d7bd627e3f4e8c4,语言清晰度,5.0,5.0
首轮专家复核,化学,Task B,HR_041E044634F6C9E1,Q30,35966976c13e002f,概念完整性,4.0,4.0
首轮专家复核,地理,Task A,HR_A764352C458492F0,Q16,13e2552913d50dda,误导风险,1.0,5.0
首轮专家复核,地理,Task A,HR_A764352C458492F0,Q7,3a66e9e2806e1650,概念完整性,4.0,4.0
二次专家复核,大气科学,Task B,HR_EB28735B4F9B0C20,A02,baedf215b4625439,误导风险,3.0,3.0
首轮专家复核,生物,Task B,HR_BECB4B9362C32EBF,Q26,e255654dbbd56d8d,事实准确性,4.0,4.0
二次专家复核,化学,Task C,HR_B911379D4F503DB9,C03,d39e35505563bba8,语言清晰度,5.0,5.0
二次专家复核,生物,Task A,HR_741A9644AB0DAEC9,B01,7543f1509f98fbda,误导风险,1.0,5.0
二次专家复核,地理,Task C,HR_8C118A0AF09A248C,G06,9c55f3213fe7f5fc,任务符合度,4.0,4.0
二次专家复核,生物,Task C,HR_4EAFA1A80086494B,B03,9df3800f06735a98,误导风险,2.0,4.0
二次专家复核,物理,Task B,HR_7FE24CE58B2F75A4,P05,c5fea29f75bd3a09,误解处理质量,5.0,5.0
二次专家复核,物理,Task C,HR_C81ABC3E5C858CCA,P06,b4657033d66e96c8,任务符合度,4.0,4.0
二次专家复核,化学,Task A,HR_520A0086E9EC0467,C01,24573e91411cfd5c,任务符合度,4.0,4.0
二次专家复核,化学,Task B,HR_01FA5755D0707AE6,C02,af557e1581ed2d03,概念完整性,4.0,4.0
二次专家复核,地理,Task A,HR_2AE5E3D4873378B4,G01,b3626a547426ca50,任务符合度,4.0,4.0
首轮专家复核,物理,Task A,HR_928CC27A748A1794,Q14,f4ce354edd870703,任务符合度,4.0,4.0
二次专家复核,化学,Task C,HR_B911379D4F503DB9,C06,1cf1d65c59a9dc1e,概念完整性,4.0,4.0
首轮专家复核,地理,Task B,HR_3F4E529E25BA8081,Q25,cc0f519cc1971a9a,概念完整性,5.0,5.0
二次专家复核,地理,Task A,HR_5808A7BBCC9B4BAB,G01,b3626a547426ca50,概念完整性,3.0,3.0
二次专家复核,物理,Task C,HR_AEE7A19C908C42E7,P03,62be08b587b9aa7f,任务符合度,2.0,2.0
二次专家复核,化学,Task C,HR_2E23273DA71667D6,C06,1cf1d65c59a9dc1e,语言清晰度,5.0,5.0
首轮专家复核,物理,Task B,HR_928CC27A748A1794,Q25,801f8c9e97c81e10,语言清晰度,3.0,3.0
