wave,domain_cn,domain,task,item_local_id,item_text_hash,questionnaire_signature_sha256,source_item_uid,generator,model,concept_id,concept,match_status,match_basis,exact_candidate_count,duplicate_candidate_uids,candidate_source_uids,schedule_expected_generator,provenance_source_item_uid,provenance_manifest_count,selection_role,text_identifiable,stimulus_signature_sha256,source_equivalence_size,item_id,api_source_regime,n_judges
首轮专家复核,化学,Chemistry,B,Q28,0b5340479f023f43,161c5c8d6ab7784cae890ea6a78c5e76c629bb08f7952b8c45ab86176d36333f,claude_B_C11,Anthropic Claude,Anthropic Claude,C11,化学键,unique_exact,direct_all_field_exact,1,,claude_B_C11,,,0,broad_scheduled_item,True,5f5a22a0bb8402084cc756c502fd75255f64a3f99cda9bf8d2cb750893e39ca2,1,API810_131,legacy_valid_full_input,9
首轮专家复核,化学,Chemistry,B,Q29,dfa155c7f49d2e9b,72a91225d7e0bcebdf4553639a9ef627ac6a435b692adfc7d83df9730eadcb5d,GLM_B_C11,Zhipu GLM,Zhipu GLM,C11,化学键,unique_exact,direct_all_field_exact,1,,GLM_B_C11,,,0,broad_scheduled_item,True,56f4c7c1dd27bf2af9b8a2ad698a09420feef39e5bd58c29d3ebc3554bca23de,1,API810_761,legacy_valid_full_input,9
首轮专家复核,化学,Chemistry,B,Q30,35966976c13e002f,3ad4091ef20f0bf29b3f1b7a235b42ee2b83ff119dfe13bacae4e9823db9bbde,claude_B_C12,Anthropic Claude,Anthropic Claude,C12,溶液浓度与稀释,unique_exact,direct_all_field_exact,1,,claude_B_C12,,,0,broad_scheduled_item,True,a8fdf9810519e2cb7c02856043d480f8171a54f3539d831453d4ab5f61a8498a,1,API810_132,legacy_valid_full_input,9
首轮专家复核,化学,Chemistry,B,Q31,68a98541fac871f2,d637baca3c3ad38e888e49f186a4af578f50699ab7de091adfd4fba1c7214aec,Gemini_B_C12,Google Gemini,Google Gemini,C12,溶液浓度与稀释,unique_exact,direct_all_field_exact,1,,Gemini_B_C12,,,0,broad_scheduled_item,True,d0e40d286dafe17f23822d4d71556387794f35c1faffb8a6f6f95592c93249e4,1,API810_402,legacy_valid_full_input,9
首轮专家复核,化学,Chemistry,C,Q33,076a6f0a26d0a64a,8519d9102ed333ba42792232235cfba50ff727f9c35c2d59ac15e9aeeda0dece,mimo_C_C07,Mimo,Mimo,C07,质量守恒,unique_exact,direct_all_field_exact,1,,mimo_C_C07,,,0,broad_scheduled_item,True,774067a80ecbe542bd3a3af1e57fa4b19797194c064707ccba43ef650f3cbc57,1,API810_517,corrected_full_payload,9
首轮专家复核,化学,Chemistry,C,Q34,faa446098c9bb43e,49bd2271b551c459f79916e80e860ebf6e581989f75812eff0df960628e592fa,KIMI_C_C07,Moonshot Kimi,Moonshot Kimi,C07,质量守恒,unique_exact,direct_all_field_exact,1,,KIMI_C_C07,,,0,broad_scheduled_item,True,777a697abb5507063194c1dc82404185bc5a18a3244b7be8f10e0b3e542e0aea,1,API810_607,corrected_full_payload,9
首轮专家复核,化学,Chemistry,C,Q35,e493a06423f76897,20231125169a30e0b0065faa468bc71ba02529e595e3f8f5c83f543dc28ed42d,豆包_C_C08,ByteDance Doubao,ByteDance Doubao,C08,物质微粒观,unique_exact,direct_all_field_exact,1,,豆包_C_C08,,,0,broad_scheduled_item,True,b5171642056ef1f3c2e9ff731df9ca15857e5c5e09ffc6b541708745806f5287,1,API810_248,corrected_full_payload,9
首轮专家复核,化学,Chemistry,C,Q36,61fa1a4f7ac34ee6,20677b5c32b4a854352431cf13d6c21c8705954dec61d0be3c44d3b83d30f613,KIMI_C_C08,Moonshot Kimi,Moonshot Kimi,C08,物质微粒观,unique_exact,direct_all_field_exact,1,,KIMI_C_C08,,,0,broad_scheduled_item,True,d8c925eb3b07ab7a58819bae791ccfb51677baad388257e25716206bf1170ddf,1,API810_608,corrected_full_payload,9
首轮专家复核,化学,Chemistry,C,Q37,8fb07b2bf5bcfd68,7bc5a3c02579b4b29cfd7e121f309e0a416b380b738eb9df191e198fcc1315b3,千问_C_C09,Alibaba Qwen,Alibaba Qwen,C09,相变,unique_exact,direct_all_field_exact,1,,千问_C_C09,,,0,broad_scheduled_item,True,dc2c028828eba38d616278777238d0e4a418422982591d8c486ac852a32b9e76,1,API810_069,corrected_full_payload,9
首轮专家复核,化学,Chemistry,C,Q38,c78c494c5e046005,518e4f2d0f31252a00b3cd592f1e53c8ddf8a5ddb77a4cda150d04274713866e,豆包_C_C09,ByteDance Doubao,ByteDance Doubao,C09,相变,unique_exact,direct_all_field_exact,1,,豆包_C_C09,,,0,broad_scheduled_item,True,105d5ff55603c4e3809c8c7cdcaff275ef6ccfcbdabe51ca5ba8196c9d5396a5,1,API810_249,corrected_full_payload,9
首轮专家复核,化学,Chemistry,C,Q39,2ef83efb4a241f42,2c1e5d4c2e6bee21f1210483c7b06cd6a79bd03a48c54f92f60657d851ce926d,千问_C_C10,Alibaba Qwen,Alibaba Qwen,C10,化学反应与物理变化,unique_exact,direct_all_field_exact,1,,千问_C_C10,,,0,broad_scheduled_item,True,526a54a70f1c0cfb33764deb6d2e0f7e1bf818d3b983392bea0bc044fdfff479,1,API810_070,corrected_full_payload,9
首轮专家复核,化学,Chemistry,C,Q40,5d520a803fe7f445,77eb0c8f9e913a1ad347e22e2e37d99d43ebf4f1e467b289aa2d705c3d0f4a94,Gemini_C_C10,Google Gemini,Google Gemini,C10,化学反应与物理变化,unique_exact,direct_all_field_exact,1,,Gemini_C_C10,,,0,broad_scheduled_item,True,afe310bcff97fd28d26ff1366aa2f82252512ffca352dfa829707ce15205619f,1,API810_430,corrected_full_payload,9
首轮专家复核,化学,Chemistry,C,Q41,0e65012e9b82893f,496971d9150006040c062bcc15203625980280f496d360d430448d71d4cb7402,Gemini_C_C11,Google Gemini,Google Gemini,C11,化学键,unique_exact,direct_all_field_exact,1,,Gemini_C_C11,,,0,broad_scheduled_item,True,847c6103e012d0edf23b025f7e88793cbd7205fe07cb213b86f00434c5de6508,1,API810_431,corrected_full_payload,9
首轮专家复核,化学,Chemistry,C,Q42,155ceb83b8a5e18e,4acbba923dd8c132e26dfb47d69663c272fb42fc1adb6d1ad4f487520b4f99e7,GLM_C_C11,Zhipu GLM,Zhipu GLM,C11,化学键,unique_exact,direct_all_field_exact,1,,GLM_C_C11,,,0,broad_scheduled_item,True,500eecc3241331f729e31d777fb29ad8451661fd85dbe74d8fb084fd2ee0bbdb,1,API810_791,corrected_full_payload,9
首轮专家复核,化学,Chemistry,C,Q43,8fd56586aedf328c,2bcc609490f72a28270ac2d9082bb3c847537574017be66ea1d958b7beb6e711,mimo_C_C12,Mimo,Mimo,C12,溶液浓度与稀释,unique_exact,direct_all_field_exact,1,,mimo_C_C12,,,0,broad_scheduled_item,True,2404b4a109ab0ea9b3ea0d911be2bd5d0d29ca44f12d71e555f72f93fd75e627,1,API810_522,corrected_full_payload,9
首轮专家复核,化学,Chemistry,C,Q44,66bd26248cc2756b,3e22bd215a660f284b35203df862308f4908d302590413c842d48fa0d6913405,GPT_C_C12,OpenAI GPT,OpenAI GPT,C12,溶液浓度与稀释,unique_exact,direct_all_field_exact,1,,GPT_C_C12,,,0,broad_scheduled_item,True,93df80520020493a9cec47cf4a3a325c0f18946b04b00fa532590991e3909d70,1,API810_702,corrected_full_payload,9
首轮专家复核,地理,Geoscience,A,Q7,3a66e9e2806e1650,bb9d195249db6c30527c29304bc65f95e817c9bede2aacb6d41f5a3170851960,mimo_A_C19,Mimo,Mimo,C19,板块构造,unique_exact,direct_all_field_exact,1,,mimo_A_C19,,,0,broad_scheduled_item,True,eed94295dca4a2e19412a2b13f79854772e74e4e5fbce7a5358bbb3347cf8ecf,1,API810_469,legacy_valid_full_input,9
首轮专家复核,地理,Geoscience,A,Q8,fc77b371dbf0b4a7,04875130d1b3cafb8d96e9d8ff710fe99f412d632b654607a98e105010e85856,GLM_A_C19,Zhipu GLM,Zhipu GLM,C19,板块构造,unique_exact,direct_all_field_exact,1,,GLM_A_C19,,,0,broad_scheduled_item,True,3f9ebcd706df78ed72320b2b32fd4f78e6278145e67ed6ba27d2276ebba2acde,1,API810_739,legacy_valid_full_input,9
首轮专家复核,地理,Geoscience,A,Q9,bc34e46bd7986678,b15535714a1b9d201a45ee389555e1686594d5c490d1a7370e977c97ce78a02b,claude_A_C20,Anthropic Claude,Anthropic Claude,C20,地质时间,unique_exact,direct_all_field_exact,1,,claude_A_C20,,,0,broad_scheduled_item,True,6975fd63b2c39601d310ae8aa9f481a19697bba79213dd311578aff42756cadd,1,API810_110,legacy_valid_full_input,9
首轮专家复核,地理,Geoscience,A,Q10,c01b60c2c429d940,7776277a1d78549b4b04f6ccdbf5d695e30375a39ec5d40a5207f70b6870af87,GLM_A_C20,Zhipu GLM,Zhipu GLM,C20,地质时间,unique_exact,direct_all_field_exact,1,,GLM_A_C20,,,0,broad_scheduled_item,True,2b8b2cc8299f073b6e095325ab09d8306bbae19ca2c9f8a1116953e9ee7c8877,1,API810_740,legacy_valid_full_input,9
首轮专家复核,地理,Geoscience,A,Q11,d946f1c605c773ad,c0d861637f77dae3fa46d1f1d34b4981d028b2d248bf3b501929cef0ba429cc9,豆包_A_C21,ByteDance Doubao,ByteDance Doubao,C21,岩石循环,unique_exact,direct_all_field_exact,1,,豆包_A_C21,,,0,broad_scheduled_item,True,5a8e34165aa567c56a8191f9ec9fa1a8675c3a93b19fffd23e3721c5709d6fd9,1,API810_201,legacy_valid_full_input,9
首轮专家复核,地理,Geoscience,A,Q12,f1f8aecaaa87b451,d96ea6e6a800d1ffc8d635bf46cca8390806de7231627e9fe4cb3e1129ae73d3,mimo_A_C21,Mimo,Mimo,C21,岩石循环,unique_exact,direct_all_field_exact,1,,mimo_A_C21,,,0,broad_scheduled_item,True,32b7cede9fde54472ed86c792fef37e9ee1157eefcc808086d1a1bcbac7d6217,1,API810_471,legacy_valid_full_input,9
首轮专家复核,地理,Geoscience,A,Q13,8ed08cca4396eeea,27926d3e89f912dd411e39349c095758ba4ca86963eeb2775ea8701ad2d26928,千问_A_C22,Alibaba Qwen,Alibaba Qwen,C22,地震成因,unique_exact,direct_all_field_exact,1,,千问_A_C22,,,0,broad_scheduled_item,True,eea8b2d0028ea53ce903a702942515a9bdf7bda6966b1eab8e14a6d16b553323,1,API810_022,legacy_valid_full_input,9
首轮专家复核,地理,Geoscience,A,Q14,daa99e899ffd0a05,e926d31a6caef470c3d5c99a993e6063cf8f3d0011d58659ad896442ac459ee7,豆包_A_C22,ByteDance Doubao,ByteDance Doubao,C22,地震成因,unique_exact,direct_all_field_exact,1,,豆包_A_C22,,,0,broad_scheduled_item,True,f19d10f5329c35b8423a821a8b825081fbb27722d941cf712d750630e0b3a573,1,API810_202,legacy_valid_full_input,9
首轮专家复核,地理,Geoscience,A,Q15,8f4a2a7e690f4202,af73c52e2932463bfdf964be2067f996677fb5fabfc30f696065096beb7b4014,DEEPSEEK_A_C23,DeepSeek,DeepSeek,C23,火山与板块边界,unique_exact,direct_all_field_exact,1,,DEEPSEEK_A_C23,,,0,broad_scheduled_item,True,09cbdcd2b0e080c92d4479ebc27116770c380cc4d7982c77aa13faf39d426758,1,API810_293,legacy_valid_full_input,9
首轮专家复核,地理,Geoscience,A,Q16,13e2552913d50dda,3421e9bcdf64395106bdb3f36436807a935aecc4e3736ca3e93ae2e47cb9d9a9,GPT_A_C23,OpenAI GPT,OpenAI GPT,C23,火山与板块边界,unique_exact,direct_all_field_exact,1,,GPT_A_C23,,,0,broad_scheduled_item,True,86daf94503a5f28b5f8b1be978ee7486aa73c16d44a08ccfd13e40ca9fca929d,1,API810_653,legacy_valid_full_input,9
首轮专家复核,地理,Geoscience,A,Q17,e7b55c1efa3fedde,84a647a04d540504b2bd77408968512811c984d970a97c98aba0df4827d109ff,claude_A_C24,Anthropic Claude,Anthropic Claude,C24,地球内部结构,unique_exact,direct_all_field_exact,1,,claude_A_C24,,,0,broad_scheduled_item,True,c6a1a2f21859fe858f241d868c49cdd4027f6b0f101346da6eeec674121d244f,1,API810_114,legacy_valid_full_input,9
首轮专家复核,地理,Geoscience,A,Q18,7a6222b3d3e49d93,e0707b71735a5202d8845e251728dbc279a96c7adb5f2941847d4f37392406b7,Gemini_A_C24,Google Gemini,Google Gemini,C24,地球内部结构,unique_exact,direct_all_field_exact,1,,Gemini_A_C24,,,0,broad_scheduled_item,True,1ce2c7fdf652d2ab7c87e2d92a5dcd5178cd0b81e0a2e5e4b8feb7ed1271d786,1,API810_384,legacy_valid_full_input,9
首轮专家复核,地理,Geoscience,B,Q20,0bced8f29002322d,1093a957d8049310fec6cb6f6c6767692d41abea3beff021d1954e7d9339f15c,豆包_B_C19,ByteDance Doubao,ByteDance Doubao,C19,板块构造,unique_exact,direct_all_field_exact,1,,豆包_B_C19,,,0,broad_scheduled_item,True,af6613a05533e185f4ba81adb175c0394a82bac7786823c900abd83e16a3b408,1,API810_229,legacy_valid_full_input,9
首轮专家复核,地理,Geoscience,B,Q21,43cad4cc795bca81,24e2c6f4ffd53001088e3c00e855f7cf53ab0ee47a2b58e7dcf3b4ff1a63c60c,Gemini_B_C19,Google Gemini,Google Gemini,C19,板块构造,unique_exact,direct_all_field_exact,1,,Gemini_B_C19,,,0,broad_scheduled_item,True,984f9089349772a543916a16c71c308b93b1a710c800b0f8a5d02318d71977eb,1,API810_409,legacy_valid_full_input,9
首轮专家复核,地理,Geoscience,B,Q22,ae83fb34cc831853,22d023d98973d528bda4a60ab1863ecf2a9b3c2cff0b89fe75f971f0de67712d,DEEPSEEK_B_C20,DeepSeek,DeepSeek,C20,地质时间,unique_exact,direct_all_field_exact,1,,DEEPSEEK_B_C20,,,0,broad_scheduled_item,True,9c4001373704b822767666d340973ba838aae9007dff1974790a9cae19a2d496,1,API810_320,legacy_valid_full_input,9
首轮专家复核,地理,Geoscience,B,Q23,5029c11f05bdec0c,0e7140338a20940eaca3cd0523f859e18e85b1a7d933e39fe2301839fab10e58,GLM_B_C20,Zhipu GLM,Zhipu GLM,C20,地质时间,unique_exact,direct_all_field_exact,1,,GLM_B_C20,,,0,broad_scheduled_item,True,a74869da0ef36f7a27ac9b9b4403050e87ff64ada7844bb254bb6e0cc7189796,1,API810_770,legacy_valid_full_input,9
首轮专家复核,地理,Geoscience,B,Q24,11f23069470369f4,ad4f4056b1c3d8e2c7180f784dedb1a7899347a661a907f39bf8fc1263802f8c,DEEPSEEK_B_C21,DeepSeek,DeepSeek,C21,岩石循环,unique_exact,direct_all_field_exact,1,,DEEPSEEK_B_C21,,,0,broad_scheduled_item,True,c1cadc99ded1199d1b489c0fd162758ecefd5a8bb590cfc35d6edfee04eabb96,1,API810_321,legacy_valid_full_input,9
首轮专家复核,地理,Geoscience,B,Q25,cc0f519cc1971a9a,aa049a203ba6af6da071add34ba969156f33779aa08de353c90b911f435c8853,GPT_B_C21,OpenAI GPT,OpenAI GPT,C21,岩石循环,unique_exact,direct_all_field_exact,1,,GPT_B_C21,,,0,broad_scheduled_item,True,c0db5556bee4dd85274856d31c99ee68bbb7126102d9f262d30489aa221e299a,1,API810_681,legacy_valid_full_input,9
首轮专家复核,地理,Geoscience,B,Q26,acced08a8cbcd0c0,6d36a928385a8a1e6639812a9501f121bbf4f0ec1d8fa0704a2db7c93825e3c2,豆包_B_C22,ByteDance Doubao,ByteDance Doubao,C22,地震成因,unique_exact,direct_all_field_exact,1,,豆包_B_C22,,,0,broad_scheduled_item,True,37c6f4abd192ceb3ccdabde9cacfde35c2b15bff29aed2d3ac4dd70d97ddf5b9,1,API810_232,legacy_valid_full_input,9
首轮专家复核,地理,Geoscience,B,Q27,f7971823487864ab,aef734042e952524f4ad913df8bc0ef0df15a49217dce1b6fad937e9975b6025,Gemini_B_C22,Google Gemini,Google Gemini,C22,地震成因,unique_exact,direct_all_field_exact,1,,Gemini_B_C22,,,0,broad_scheduled_item,True,10da205de02da79cf0d07948373046081d040a51dec771545c034156ce55324c,1,API810_412,legacy_valid_full_input,9
首轮专家复核,地理,Geoscience,B,Q28,f0f15fb94300f7ed,e7e1261e8cd29bd5a28e11e60f7095f1d3de7db7c71f8347f0b6ae19c9c8d9db,claude_B_C23,Anthropic Claude,Anthropic Claude,C23,火山与板块边界,unique_exact,direct_all_field_exact,1,,claude_B_C23,,,0,broad_scheduled_item,True,43bb87e57667fa1a1e9de05ae955c77a292acc91c9ad5f4436cc7ef4b73d1adf,1,API810_143,legacy_valid_full_input,9
首轮专家复核,地理,Geoscience,B,Q29,82f54aa0392fe9d8,7157f82a64c47ba8a9d32142ce77a837574a9a83650da33b04715a0308472a4f,GLM_B_C23,Zhipu GLM,Zhipu GLM,C23,火山与板块边界,unique_exact,direct_all_field_exact,1,,GLM_B_C23,,,0,broad_scheduled_item,True,214e009dbd1dbc7a447d64a3b0641f1452377939cf641cd239d98f865311efea,1,API810_773,legacy_valid_full_input,9
首轮专家复核,地理,Geoscience,B,Q30,9bdb4777851c6dcf,1819b899885b66b063630431085f87833d9e5c43bb5c82ddffbe7da97a81819d,claude_B_C24,Anthropic Claude,Anthropic Claude,C24,地球内部结构,unique_exact,direct_all_field_exact,1,,claude_B_C24,,,0,broad_scheduled_item,True,0a96ddc2b6a222f597d4bf56f615b4a2c2767d3b18ed52ca0ffe8f96dec0e75f,1,API810_144,legacy_valid_full_input,9
首轮专家复核,地理,Geoscience,B,Q31,80da7d68305e89e0,55ae11cf8b9c3c11b55b118d696ec7e19017cdad8069d0cc119de9c9702ac7dc,Gemini_B_C24,Google Gemini,Google Gemini,C24,地球内部结构,unique_exact,direct_all_field_exact,1,,Gemini_B_C24,,,0,broad_scheduled_item,True,b7c93b274a1e9fe2e1eaf28c98be1085bc9302e56acbf64ff5ed05617df1d93b,1,API810_414,legacy_valid_full_input,9
首轮专家复核,地理,Geoscience,C,Q33,98cd337f0354e650,1437ab790293b6e4763a22ac913f2e2843a1f3eb7f327e0e75e36de8bc57f46f,mimo_C_C19,Mimo,Mimo,C19,板块构造,unique_exact,direct_all_field_exact,1,,mimo_C_C19,,,0,broad_scheduled_item,True,853ca7e0c4d6d60670a74c08b99b18ab73269ece14ea918aa74045aae5fae295,1,API810_529,corrected_full_payload,9
首轮专家复核,地理,Geoscience,C,Q34,bab14269c8457ed5,deadef67b320746bbcd08524aeb2e92432290d23050e54d863ed5e6adb71b312,KIMI_C_C19,Moonshot Kimi,Moonshot Kimi,C19,板块构造,unique_exact,direct_all_field_exact,1,,KIMI_C_C19,,,0,broad_scheduled_item,True,22afb68b719ac0ced725da7e7be011eae690e699997079fe2124f6c27e3658d6,1,API810_619,corrected_full_payload,9
