case_id,version,judge_provider,fa,cc,lc,tf,mq,quality_mean
A07,B,gemini,1,1,4,3,1,2.0
A08,A,gemini,1,1,5,3,1,2.2
A08,B,gemini,5,5,5,5,5,5.0
A01,A,glm,5,3,5,3,5,4.2
A01,B,glm,4,3,5,3,5,4.0
A02,A,glm,5,5,5,5,5,5.0
A02,B,glm,1,1,4,2,1,1.8
A03,A,glm,3,3,5,5,5,4.2
A03,B,glm,5,5,5,5,5,5.0
A04,A,glm,2,2,5,3,1,2.6
A04,B,glm,5,4,5,5,5,4.8
A05,A,glm,5,5,5,5,5,5.0
A05,B,glm,1,1,5,2,1,2.0
A06,A,glm,5,5,5,5,5,5.0
A06,B,glm,1,1,4,1,1,1.6
A07,A,glm,5,4,5,5,5,4.8
A07,B,glm,1,1,5,2,1,2.0
A08,A,glm,1,1,4,2,1,1.8
A08,B,glm,5,5,5,5,5,5.0
A01,A,kimi,5,3,5,4,4,4.2
A01,B,kimi,3,3,5,3,4,3.6
A02,A,kimi,5,5,5,5,5,5.0
A02,B,kimi,1,1,3,1,1,1.4
A03,A,kimi,4,3,5,3,4,3.8
A03,B,kimi,5,4,5,5,5,4.8
A04,A,kimi,1,3,5,3,1,2.6
A04,B,kimi,5,4,5,5,5,4.8
A05,A,kimi,5,4,5,5,5,4.8
A05,B,kimi,2,3,5,3,1,2.8
A06,A,kimi,5,5,5,5,5,5.0
A06,B,kimi,1,1,3,1,1,1.4
A07,A,kimi,5,4,5,5,5,4.8
A07,B,kimi,2,2,4,3,1,2.4
A08,A,kimi,1,1,3,3,1,1.8
A08,B,kimi,5,5,5,5,5,5.0
A01,A,mimo,4,2,4,3,3,3.2
A01,B,mimo,5,3,5,4,4,4.2
A02,A,mimo,5,3,5,5,5,4.6
A02,B,mimo,1,1,3,1,1,1.4
A03,A,mimo,5,3,5,5,5,4.6
A03,B,mimo,5,4,5,5,5,4.8
A04,A,mimo,1,1,4,1,1,1.6
A04,B,mimo,5,3,4,5,4,4.2
A05,A,mimo,5,3,5,5,5,4.6
A05,B,mimo,1,1,3,1,1,1.4
A06,A,mimo,5,4,5,5,5,4.8
A06,B,mimo,1,1,3,1,1,1.4
A07,A,mimo,5,3,5,5,5,4.6
A07,B,mimo,1,1,3,1,1,1.4
A08,A,mimo,1,1,3,3,1,1.8
A08,B,mimo,5,3,5,5,5,4.6
A01,A,openai,5,4,5,5,5,4.8
A01,B,openai,4,3,5,4,5,4.2
A02,A,openai,4,4,5,5,4,4.4
A02,B,openai,1,1,4,2,1,1.8
A03,A,openai,4,3,5,5,4,4.2
A03,B,openai,5,4,5,5,5,4.8
A04,A,openai,1,1,5,2,1,2.0
A04,B,openai,5,4,5,5,5,4.8
A05,A,openai,5,4,5,5,5,4.8
A05,B,openai,1,2,5,2,1,2.2
A06,A,openai,5,4,5,5,5,4.8
A06,B,openai,1,1,5,1,1,1.8
A07,A,openai,4,3,5,5,5,4.4
A07,B,openai,1,2,4,2,1,2.0
A08,A,openai,1,1,4,3,1,2.0
A08,B,openai,5,4,5,5,5,4.8
A01,A,qwen,5,4,5,5,5,4.8
A01,B,qwen,4,3,5,5,5,4.4
A02,A,qwen,5,4,5,5,5,4.8
A02,B,qwen,1,1,3,2,1,1.6
A03,A,qwen,4,2,5,4,4,3.8
A03,B,qwen,5,4,5,5,5,4.8
A04,A,qwen,1,1,4,2,1,1.8
A04,B,qwen,5,4,5,5,5,4.8
A05,A,qwen,5,4,5,5,5,4.8
A05,B,qwen,2,2,4,3,2,2.6
A06,A,qwen,5,4,5,5,5,4.8
A06,B,qwen,1,1,3,1,1,1.4
A07,A,qwen,5,3,5,5,5,4.6
A07,B,qwen,1,1,4,2,1,1.8
A08,A,qwen,2,2,4,3,1,2.4
A08,B,qwen,5,4,5,5,5,4.8
