repeat_item_id,api_item_id,source_item_uid,domain,concept_id,task_type,generator,generator_model,concept,text,content_json,text_sha256,content_json_sha256,existing_judge_rows,input_integrity_pass_rows,fresh_repetitions
RST018,API810_066,千问_C_C06,Physics,C06,C,Alibaba Qwen,Alibaba Qwen,摩擦力与运动,"{""id"":""C06"",""concept"":""摩擦力与运动"",""question"":""人跑步起步时，摩擦力方向？"",""options"":{""A"":""阻碍跑步"",""B"":""向前的动力"",""C"":""向下的压力"",""D"":""向上的浮力""},""answer"":""B"",""explain"":""鞋底相对地面后滑，摩擦力向前推动人前进。""}","{""answer"":""B"",""concept"":""摩擦力与运动"",""explain"":""鞋底相对地面后滑，摩擦力向前推动人前进。"",""id"":""C06"",""options"":{""A"":""阻碍跑步"",""B"":""向前的动力"",""C"":""向下的压力"",""D"":""向上的浮力""},""question"":""人跑步起步时，摩擦力方向？""}",51e13339dffaed555562ef305a219a079ed77f664792476a9bbc2f3337e81cf1,25ce090691849554f13361f08e0aadb40e733d865b96a6d5a090183ca1c8ea47,9,9,3
RST019,API810_637,GPT_A_C07,Chemistry,C07,A,OpenAI GPT,OpenAI GPT,质量守恒,封闭系统中，化学反应前后总质量不变。,"{""concept"":""质量守恒"",""correction"":""气体也是物质，若不逸出，总质量仍守恒。"",""id"":""C07"",""misconception"":""气体生成会让质量消失"",""text"":""封闭系统中，化学反应前后总质量不变。""}",6898a68d48681ce6605cdf5b981f9dbcff715a4510b92e7a7cb29440dfeb9d35,b28673f87fd5bb929379ecaf4e4b000ccbe29e82a13c08a2ca811647ec0f637d,9,9,3
RST020,API810_037,千问_B_C07,Chemistry,C07,B,Alibaba Qwen,Alibaba Qwen,质量守恒,"{""id"":""C07"",""concept"":""质量守恒"",""title"":""蜡烛燃烧"",""scene"":""小芳点燃蜡烛，蜡油变少，但总质量其实一点没变。"",""tags"":[""质量"",""守恒"",""燃烧""],""warning"":""燃烧产物质量等于反应物。""}","{""concept"":""质量守恒"",""id"":""C07"",""scene"":""小芳点燃蜡烛，蜡油变少，但总质量其实一点没变。"",""tags"":[""质量"",""守恒"",""燃烧""],""title"":""蜡烛燃烧"",""warning"":""燃烧产物质量等于反应物。""}",5903ec1ccc227959a4e43721a03894c2cf9cc600e251bfd6f067708232499f7d,b76b3426ae3c956f37d43afc6f0f7a7cdefa9d4b76c23849c6636f9b23f4008e,9,9,3
RST021,API810_337,DEEPSEEK_C_C07,Chemistry,C07,C,DeepSeek,DeepSeek,质量守恒,"{""id"":""C07"",""concept"":""质量守恒"",""question"":""纸张烧完，灰比原纸轻很多，物质去哪了？"",""options"":{""A"":""物质消失了"",""B"":""变成能量消失"",""C"":""部分变成气体散逸"",""D"":""只剩灰的质量""},""answer"":""C"",""explain"":""燃烧生成的气体散到空气中，总质量仍守恒。""}","{""answer"":""C"",""concept"":""质量守恒"",""explain"":""燃烧生成的气体散到空气中，总质量仍守恒。"",""id"":""C07"",""options"":{""A"":""物质消失了"",""B"":""变成能量消失"",""C"":""部分变成气体散逸"",""D"":""只剩灰的质量""},""question"":""纸张烧完，灰比原纸轻很多，物质去哪了？""}",3be892392b50203fd556268ea2954439843c1a2b1edb06402ffa5434fbba3318,c99edd79e9e559d234384406a6871bc52a0a7c0d79935c3e217809cc0f0cec01,9,9,3
RST022,API810_368,Gemini_A_C08,Chemistry,C08,A,Google Gemini,Google Gemini,物质微粒观,所有的物质都是由肉眼不可见的微小粒子（分子、原子等）构成的。,"{""concept"":""物质微粒观"",""correction"":""微粒之间存在空隙，且微粒在不断地做无规则的热运动。"",""id"":""C08"",""misconception"":""物质是连续不断、没有内部空隙的。"",""text"":""所有的物质都是由肉眼不可见的微小粒子（分子、原子等）构成的。""}",437b2fa3042ef259089bb2be87100c4060a8306f13d7c84b666020d9d55e6fe2,e912297305e6c62ad56fae546a9996b6b1e26ad154ce593ebc82bdcd89a6261c,9,9,3
RST023,API810_488,mimo_B_C08,Chemistry,C08,B,Mimo,Mimo,物质微粒观,"{""id"":""C08"",""concept"":""物质微粒观"",""title"":""看不见的水"",""scene"":""小丽将墨水滴入水中扩散，才理解物质由不断运动的微粒组成。"",""tags"":[""分子"",""原子"",""微粒""],""warning"":""肉眼看不见不代表微粒不存在。""}","{""concept"":""物质微粒观"",""id"":""C08"",""scene"":""小丽将墨水滴入水中扩散，才理解物质由不断运动的微粒组成。"",""tags"":[""分子"",""原子"",""微粒""],""title"":""看不见的水"",""warning"":""肉眼看不见不代表微粒不存在。""}",a3faaf6c215bfc670c495f735bf9f13c20c9a2a1f2928d851d92ba026fc5e207,d25e9ca5c651ab66a596346e4f38262359746210c3a52665d505ea4a16791d2c,9,9,3
RST024,API810_248,豆包_C_C08,Chemistry,C08,C,ByteDance Doubao,ByteDance Doubao,物质微粒观,"{""id"":""C08"",""concept"":""物质微粒观"",""question"":""水蒸发后体积变大，因？"",""options"":{""A"":""分子间距变大"",""B"":""分子体积变大"",""C"":""分子数量变多"",""D"":""分子变成气体""},""answer"":""A"",""explain"":""物质状态变化，分子本身不变，仅间距改变。""}","{""answer"":""A"",""concept"":""物质微粒观"",""explain"":""物质状态变化，分子本身不变，仅间距改变。"",""id"":""C08"",""options"":{""A"":""分子间距变大"",""B"":""分子体积变大"",""C"":""分子数量变多"",""D"":""分子变成气体""},""question"":""水蒸发后体积变大，因？""}",8cbbefde1431a2fa9f07a88eb519f91770eaff2063d66c9a3b6aa3288fd8e026,d03a35904f51092a41bd622e4b808d0240d89d3c5f69fb506445ff3259ebd7f3,9,9,3
RST025,API810_459,mimo_A_C09,Chemistry,C09,A,Mimo,Mimo,相变,相变是物质在固、液、气等状态之间的转变过程。,"{""concept"":""相变"",""correction"":""相变过程中温度保持不变，吸收或释放的是潜热。"",""id"":""C09"",""misconception"":""相变时温度一直升高"",""text"":""相变是物质在固、液、气等状态之间的转变过程。""}",093714065313b43911ef4b8383e0681169b3604f73166358229eefd0f41379b3,a633caa99d1d52af36e3bf1e8012b002b34562fcdfcd4064987f2be070d6aff5,9,9,3
RST026,API810_759,GLM_B_C09,Chemistry,C09,B,Zhipu GLM,Zhipu GLM,相变,"{""id"":""C09"",""concept"":""相变"",""title"":""烧水的停滞"",""scene"":""水沸腾时温度计读数不变，小王惊了，热量全用来挣脱束缚。"",""tags"":[""相变"",""熔化"",""沸点""],""warning"":""晶体熔化或沸腾时，吸热但温度不会升高。""}","{""concept"":""相变"",""id"":""C09"",""scene"":""水沸腾时温度计读数不变，小王惊了，热量全用来挣脱束缚。"",""tags"":[""相变"",""熔化"",""沸点""],""title"":""烧水的停滞"",""warning"":""晶体熔化或沸腾时，吸热但温度不会升高。""}",1eee74c8a0695f9b04cd78956608d3b50d3b82529c2ab29ea8d65b9b6f3f8ba8,c0f3f014c18ff8143b99f0e3546f7d963a374c366d37329500f85e12c6821a60,9,9,3
RST027,API810_429,Gemini_C_C09,Chemistry,C09,C,Google Gemini,Google Gemini,相变,"{""id"":""C09"",""concept"":""相变"",""question"":""水结成冰块后，内部的水分子发生了什么变化？"",""options"":{""A"":""分子完全静止不动了"",""B"":""分子变大了，所以冰块膨胀"",""C"":""分子变成了新的物质"",""D"":""分子仍在振动，但排列改变""},""answer"":""D"",""explain"":""相变不改变微粒本身，固态下的分子仍在微弱振动。""}","{""answer"":""D"",""concept"":""相变"",""explain"":""相变不改变微粒本身，固态下的分子仍在微弱振动。"",""id"":""C09"",""options"":{""A"":""分子完全静止不动了"",""B"":""分子变大了，所以冰块膨胀"",""C"":""分子变成了新的物质"",""D"":""分子仍在振动，但排列改变""},""question"":""水结成冰块后，内部的水分子发生了什么变化？""}",947466ef77fa70f18705746a5452b541edb728a768bfaf4f7000675af8fba471,1933e75b42e5a5b42c25db44b4aa54552b5d481b74c4d91a3044b2b02c80235b,9,9,3
RST028,API810_280,DEEPSEEK_A_C10,Chemistry,C10,A,DeepSeek,DeepSeek,化学反应与物理变化,化学反应有新物质生成，物理变化仅改变形态。,"{""concept"":""化学反应与物理变化"",""correction"":""水蒸发只是状态改变，水分子本身没有变。"",""id"":""C10"",""misconception"":""水蒸发是化学变化"",""text"":""化学反应有新物质生成，物理变化仅改变形态。""}",0204563ab9390301e75cf9cb0e38adf04dbd5870832e598215db689388d72744,04db3c30874bf66155038d9c95881451daf87270455cb1033af2430d590edc1c,9,9,3
RST029,API810_670,GPT_B_C10,Chemistry,C10,B,OpenAI GPT,OpenAI GPT,化学反应与物理变化,"{""id"":""C10"",""concept"":""化学反应与物理变化"",""title"":""剪纸燃纸"",""scene"":""美术课剪纸只是变形，实验中烧纸却生成新物质。"",""tags"":[""化学"",""物理"",""新物质""],""warning"":""形状改变不一定是化学反应。""}","{""concept"":""化学反应与物理变化"",""id"":""C10"",""scene"":""美术课剪纸只是变形，实验中烧纸却生成新物质。"",""tags"":[""化学"",""物理"",""新物质""],""title"":""剪纸燃纸"",""warning"":""形状改变不一定是化学反应。""}",1027f183d78976026e49c8eb074a0d14e7ef1ebf3c543de46c07a260f7f41d75,1dde2fa826a25373c6ea686a87dd1499d030af760916f7ffd0784c67371dbcdd,9,9,3
RST030,API810_790,GLM_C_C10,Chemistry,C10,C,Zhipu GLM,Zhipu GLM,化学反应与物理变化,"{""id"":""C10"",""concept"":""化学反应与物理变化"",""question"":""电灯通电发光发热，属于化学变化吗？"",""options"":{""A"":""属于，因为有发光发热"",""B"":""不属于，无新物质生成"",""C"":""属于，电能转化为光能"",""D"":""不属于，温度不够高""},""answer"":""B"",""explain"":""判断标准是有无新物质生成，发光发热未必是。""}","{""answer"":""B"",""concept"":""化学反应与物理变化"",""explain"":""判断标准是有无新物质生成，发光发热未必是。"",""id"":""C10"",""options"":{""A"":""属于，因为有发光发热"",""B"":""不属于，无新物质生成"",""C"":""属于，电能转化为光能"",""D"":""不属于，温度不够高""},""question"":""电灯通电发光发热，属于化学变化吗？""}",eca4c28d15d811d4560b6c74adcd2bdd12c97b8bb414790c2e813e980b8d5ba5,3b211decad3557526d067d3d5a680a96ef54e0efd6c36b0b63760aa3fde5f214,9,9,3
RST031,API810_101,claude_A_C11,Chemistry,C11,A,Anthropic Claude,Anthropic Claude,化学键,化学键是原子间的作用力，分为离子键、共价键等，断键需要能量，成键释放能量。,"{""concept"":""化学键"",""correction"":""化学键存在于原子之间，分子间作用力另称分子间力。"",""id"":""C11"",""misconception"":""化学键是分子之间的力"",""text"":""化学键是原子间的作用力，分为离子键、共价键等，断键需要能量，成键释放能量。""}",31f7e952c93ba10ad39887dff22d31f586069bcc8fad8a914977c0ae0f10544d,5b3015a5323016a121dbb96a2a904d8d81b7b3885c271426d3cd4aede409a608,9,9,3
RST032,API810_221,豆包_B_C11,Chemistry,C11,B,ByteDance Doubao,ByteDance Doubao,化学键,"{""id"":""C11"",""concept"":""化学键"",""title"":""分子的连接"",""scene"":""小琪看模型，原子靠化学键结合成分子不会随意分开。"",""tags"":[""化学键"",""原子"",""分子""],""warning"":""误以为化学键是物理连接。""}","{""concept"":""化学键"",""id"":""C11"",""scene"":""小琪看模型，原子靠化学键结合成分子不会随意分开。"",""tags"":[""化学键"",""原子"",""分子""],""title"":""分子的连接"",""warning"":""误以为化学键是物理连接。""}",64352c65e6102db63fae1e8410d43b72990b3d419379a78a0360b6df644369a9,13b1fa5592eeddc369073dd3d541c31e5c6a0b543e5d095fc63039798a058de2,9,9,3
RST033,API810_611,KIMI_C_C11,Chemistry,C11,C,Moonshot Kimi,Moonshot Kimi,化学键,"{""id"":""C11"",""concept"":""化学键"",""question"":""关于化学键，正确的描述是？"",""options"":{""A"":""原子间电磁作用"",""B"":""原子间有实体绳"",""C"":""只有离子化合物有"",""D"":""化学键可随意断开""},""answer"":""A"",""explain"":""化学键是电磁相互作用，没有实体连接。""}","{""answer"":""A"",""concept"":""化学键"",""explain"":""化学键是电磁相互作用，没有实体连接。"",""id"":""C11"",""options"":{""A"":""原子间电磁作用"",""B"":""原子间有实体绳"",""C"":""只有离子化合物有"",""D"":""化学键可随意断开""},""question"":""关于化学键，正确的描述是？""}",659a9b10212e3bd92272b70477058c5c8554b0e9e4ca50d97c865b6d5557caba,d90cbd7bbf48dda24639d5825bdf718f46073376a546a21a04e9a0bdf5364e24,9,9,3
RST034,API810_552,KIMI_A_C12,Chemistry,C12,A,Moonshot Kimi,Moonshot Kimi,溶液浓度与稀释,稀释降低浓度，但溶质总量保持不变。,"{""concept"":""溶液浓度与稀释"",""correction"":""加水只改变体积，溶质质量不变。"",""id"":""C12"",""misconception"":""稀释后溶质变少"",""text"":""稀释降低浓度，但溶质总量保持不变。""}",69b8f8b0974775a4f2db6b42dec88448fa05b944f441efa8a4adf052eace748e,f4376ea964d7ba6cf260518029cc03542921efd6dfb1f9e806db3e43db012bcc,9,9,3
RST035,API810_132,claude_B_C12,Chemistry,C12,B,Anthropic Claude,Anthropic Claude,溶液浓度与稀释,"{""id"":""C12"",""concept"":""溶液浓度与稀释"",""title"":""加水加多少"",""scene"":""小赵配药水，把100mL浓液稀释到一半浓度，加100mL水却不够。"",""tags"":[""稀释"",""浓度"",""溶质不变""],""warning"":""浓度减半要让总体积翻倍，不只是加等量水。""}","{""concept"":""溶液浓度与稀释"",""id"":""C12"",""scene"":""小赵配药水，把100mL浓液稀释到一半浓度，加100mL水却不够。"",""tags"":[""稀释"",""浓度"",""溶质不变""],""title"":""加水加多少"",""warning"":""浓度减半要让总体积翻倍，不只是加等量水。""}",1c813baed2ff8877a23e6ebe325e295826a87efe9ae00dcbae6fcd5e61bfbda7,bce84c90a8b85b7745f3066c31913ef2e0b9231d056ba1467a2ede6be7bdd008,9,9,3
RST036,API810_072,千问_C_C12,Chemistry,C12,C,Alibaba Qwen,Alibaba Qwen,溶液浓度与稀释,"{""id"":""C12"",""concept"":""溶液浓度与稀释"",""question"":""果汁加水稀释，糖分变少了吗？"",""options"":{""A"":""糖分分解"",""B"":""糖分不变"",""C"":""糖分变少"",""D"":""糖分消失""},""answer"":""B"",""explain"":""稀释只增加溶剂，溶质（糖）的量保持不变。""}","{""answer"":""B"",""concept"":""溶液浓度与稀释"",""explain"":""稀释只增加溶剂，溶质（糖）的量保持不变。"",""id"":""C12"",""options"":{""A"":""糖分分解"",""B"":""糖分不变"",""C"":""糖分变少"",""D"":""糖分消失""},""question"":""果汁加水稀释，糖分变少了吗？""}",43606521bdb443204ee497b6ce32447cbc69eb55fc5639f474baaa0a1b7e65a0,fca8ce5af4ebe7bfafbe9d2f406c5afb6c1d8a98b807185f56ca5539bf60586d,9,9,3
RST037,API810_373,Gemini_A_C13,Biology,C13,A,Google Gemini,Google Gemini,自然选择,自然选择指适应环境的个体存活并繁衍，将其有利特征传给后代的过程。,"{""concept"":""自然选择"",""correction"":""环境只是筛选了已存在的有利变异，而非导致变异产生的原因。"",""id"":""C13"",""misconception"":""生物为了适应环境而主动发生变异。"",""text"":""自然选择指适应环境的个体存活并繁衍，将其有利特征传给后代的过程。""}",7f2eda7386f6f6a08e693860e9c2b7869cb9fd36fadb8393ba3ed63d57a44fa0,415f86fd7a34e9bd3d15dc2c419003340b741e5c65b88dfac4e211ea79f880c1,9,9,3
